"V1"	"V2"	"V3"
"327"	14984	9934	3635
"328"	14633	15123	13732
"329"	16	1628	48
"330"	6147	14598	12508
"331"	404	2427	4639
"332"	14944	8311	13490
"333"	1996	10050	2716
"334"	14984	9934	9844
"335"	4832	5332	4381
"336"	4456	9768	5874
"337"	14633	15123	13732
"338"	9570	3553	2021
"339"	1818	456	16023
"340"	5000	8823	7766
"341"	1054	1176	7280
"342"	9244	1612	1630
"343"	13382	15366	12479
"344"	7745	5792	6664
"345"	10542	4344	15295
"346"	15782	8777	10307
"347"	5034	7329	1365
"348"	2899	4984	3510
"349"	9244	1612	1006
"350"	6655	10928	2572
"351"	14633	15123	13732
"352"	312	5976	177
"353"	2293	4984	12964
"354"	11961	8312	5006
"355"	2446	1402	2546
"356"	7259	1054	7280
"357"	3415	7801	2217
"358"	13460	16962	10642
"359"	3415	7801	13471
"360"	2899	7232	9616
"361"	18	3415	1347
"362"	16076	10413	15440
"363"	6655	10928	11272
"364"	756	10696	184
"365"	14633	15123	13732
"366"	15457	195	9142
"367"	889	14984	1932
"368"	1932	1927	13690
"369"	16294	15484	4555
"370"	2831	3935	9111
"371"	858	1748	7379
"372"	4837	12232	11915
"373"	11330	8543	11830
"374"	2907	12641	2136
"375"	4487	3645	7279
"376"	1365	7329	5034
"377"	16952	7222	4092
"378"	15	16294	15484
"379"	1792	13905	8517
"380"	10985	14717	12621
"381"	13245	15736	10440
"382"	14944	8311	3661
"383"	13722	13172	3228
"384"	28	53	469
"385"	8561	11502	543
"386"	12315	12446	16106
"387"	14633	15123	13732
"388"	1951	2152	4973
"389"	1049	1596	15
"390"	8631	6272	7419
"391"	551	11373	16936
"392"	13444	10696	184
"393"	2504	14698	14285
"394"	16046	9684	8047
"395"	8994	8715	15944
"396"	8126	15590	8831
"397"	1792	13905	8592
"398"	11081	799	7343
"399"	4837	8442	12232
"400"	2831	3935	10971
"401"	3228	7822	4108
"402"	3510	16780	11867
"403"	11425	4392	2074
"404"	16076	10413	10021
"405"	16185	3429	227
"406"	2293	4984	2713
"407"	2356	3570	12639
"408"	1818	456	10899
"409"	6	29	15
"410"	16166	14610	4333
"411"	3415	7801	18
"412"	7122	5332	4832
"413"	883	193	2955
"414"	8709	177	312
"415"	2212	827	2220
"416"	13806	4351	5681
"417"	16046	16185	3429
"418"	2546	9408	8989
"419"	2572	14840	7613
"420"	2720	7314	12205
"421"	1951	4973	3537
"422"	2504	14698	14285
"423"	11833	2715	8234
"424"	13245	15736	345
"425"	14088	508	11679
"426"	14166	4487	3645
"427"	4478	16079	10551
"428"	799	7343	11081
"429"	14984	9934	9844
"430"	5332	4832	9791
"431"	5034	7329	3676
"432"	404	3649	1461
"433"	7222	4092	14886
"434"	14984	9934	9844
"435"	5162	3614	10008
"436"	184	10696	13444
"437"	312	1717	177
"438"	3935	7159	2831
"439"	2222	38	1214
"440"	1343	7745	5792
"441"	4456	5874	9654
"442"	14631	1343	7980
"443"	9654	9768	4456
"444"	2589	2093	9169
"445"	11918	10490	9142
"446"	9654	4456	9768
"447"	5000	7766	8823
"448"	15851	14610	13460
"449"	7329	5034	3676
"450"	1415	4615	13460
"451"	5775	12572	15387
"452"	5332	4832	7122
"453"	8994	15944	5082
"454"	11425	2074	4392
"455"	15457	195	1999
"456"	10720	3022	8476
"457"	13245	15736	7243
"458"	11081	7343	799
"459"	3415	7801	1347
"460"	1951	4973	5085
"461"	1896	10418	1682
"462"	589	9887	2515
"463"	14746	14716	15805
"464"	3429	227	16185
"465"	12572	2546	5975
"466"	5081	1875	5576
"467"	14633	15123	13732
"468"	6726	6472	7256
"469"	14480	14655	13926
"470"	551	3510	11373
"471"	13756	4368	9154
"472"	6859	756	7746
"473"	1792	13905	8517
"474"	15708	6147	12508
"475"	5439	6117	14621
"476"	10914	2850	10619
"477"	1365	5034	7329
"478"	1899	1210	227
"479"	2713	3097	5003
"480"	16076	10413	4351
"481"	8631	7419	12348
"482"	3510	16780	7421
"483"	14088	1228	6599
"484"	2324	1052	14109
"485"	14608	8786	7979
"486"	11833	2715	8234
"487"	4101	11364	6147
"488"	12619	3743	12687
"489"	13382	15366	12479
"490"	5135	284	9787
"491"	4985	1224	11379
"492"	14984	5046	6662
"493"	9134	3439	7994
"494"	2831	12008	3935
"495"	3818	4794	683
"496"	1214	6614	1010
"497"	14088	508	11679
"498"	16046	3463	7081
"499"	12478	8707	1605
"500"	13490	8311	14944
"501"	10413	16076	6496
"502"	15676	9276	14566
"503"	522	3415	11724
"504"	962	11833	2715
"505"	3228	7822	13722
"506"	2661	3200	3691
"507"	11961	8312	5006
"508"	16185	3429	6322
"509"	184	10696	858
"510"	747	10050	2057
"511"	551	11373	16046
"512"	227	3429	6322
"513"	9101	4710	5450
"514"	3584	2175	271
"515"	551	11373	4828
"516"	24	28	486
"517"	1343	4281	1346
"518"	2848	8280	15468
"519"	6805	6917	1340
"520"	14984	2758	9934
"521"	10542	15295	4344
"522"	8631	7419	12348
"523"	290	2758	785
"524"	11081	799	7343
"525"	883	2955	193
"526"	1927	3656	1932
"527"	858	7379	11961
"528"	2293	4984	1792
"529"	6684	12989	1999
"530"	6660	5645	3550
"531"	7222	6971	64
"532"	2222	38	1214
"533"	14166	11418	11910
"534"	14984	3592	9934
"535"	1927	3656	1932
"536"	4911	4351	13806
"537"	14984	4101	11364
"538"	3429	6322	227
"539"	1748	14918	9818
"540"	404	4639	9234
"541"	1539	16857	10012
"542"	9142	64	65
"543"	4275	15473	1089
"544"	5439	6117	5162
"545"	1046	441	12840
"546"	6655	10928	6668
"547"	1052	2324	3188
"548"	1792	13905	8517
"549"	6	29	6496
"550"	7931	13789	13670
"551"	3024	13579	3638
"552"	1	12868	11145
"553"	16424	14658	12561
"554"	1792	13905	8592
"555"	9552	1013	6843
"556"	671	691	5
"557"	1701	277	14412
"558"	3415	7801	14984
"559"	1825	9806	1828
"560"	284	7746	756
"561"	756	284	7746
"562"	7222	12301	4092
"563"	9015	6855	12270
"564"	3228	7822	6660
"565"	10617	1423	3014
"566"	14944	13490	8311
"567"	1818	456	10899
"568"	7822	2848	3025
"569"	7122	5332	6038
"570"	14088	777	508
"571"	9115	12478	206
"572"	14651	6684	1071
"573"	4351	3089	4911
"574"	10166	3521	248
"575"	3228	13172	6870
"576"	9787	5135	14422
"577"	13382	15366	13654
"578"	3391	484	24
"579"	7382	7573	8719
"580"	14633	14984	8163
"581"	15676	9276	14566
"582"	13460	16962	11604
"583"	3649	3539	8939
"584"	14633	13732	15123
"585"	13722	13172	720
"586"	10542	4344	15295
"587"	16185	12619	3429
"588"	1951	4973	11750
"589"	4984	2293	2819
"590"	6372	2697	10631
"591"	484	28	11218
"592"	7356	2546	7363
"593"	5081	1875	12697
"594"	4351	4911	3089
"595"	3510	7111	16354
"596"	2324	14109	1052
"597"	4478	9355	14389
"598"	1241	16046	13945
"599"	16442	16602	15355
"600"	10720	9363	3022
"601"	2293	4984	6630
"602"	3818	683	8844
"603"	13172	720	3037
"604"	551	11373	3015
"605"	13732	14633	15123
"606"	11081	7343	799
"607"	11126	7571	7088
"608"	13722	13172	720
"609"	14633	15123	13732
"610"	10551	16079	16630
"611"	16869	16473	16157
"612"	3510	5305	16046
"613"	14633	15123	8421
"614"	10542	4344	8095
"615"	7070	4694	6462
"616"	5034	7329	3676
"617"	14088	508	5292
"618"	1818	16023	456
"619"	1116	12121	10109
"620"	9355	14389	8136
"621"	3510	14984	1010
"622"	3228	7822	4108
"623"	3584	4114	271
"624"	484	10050	747
"625"	14984	177	312
"626"	2504	14285	14698
"627"	16076	10413	1116
"628"	10050	15073	2376
"629"	11425	2074	4392
"630"	7329	1359	5034
"631"	12538	13837	15551
"632"	551	11373	7263
"633"	13460	16962	10642
"634"	9134	7994	3439
"635"	10050	15073	10506
"636"	10696	184	13444
"637"	10166	1682	1896
"638"	11126	4658	7571
"639"	9278	14822	12478
"640"	14984	9934	16333
"641"	7745	1449	5792
"642"	1176	1054	7280
"643"	16960	15891	15441
"644"	15676	14566	9276
"645"	13245	1516	15736
"646"	3228	11133	989
"647"	3228	7822	4108
"648"	3584	4114	271
"649"	1116	16076	10413
"650"	13207	14774	9319
"651"	1792	8592	13905
"652"	1221	20	2782
"653"	12898	5258	551
"654"	858	7379	15038
"655"	13382	15366	12479
"656"	13732	1343	14633
"657"	13288	9354	11667
"658"	823	9591	9401
"659"	597	4980	7093
"660"	551	227	5760
"661"	282	1221	10466
"662"	2376	10050	10506
"663"	1975	1010	9393
"664"	14984	9934	16076
"665"	1938	2165	1932
"666"	14389	9355	5812
"667"	1091	1825	9806
"668"	551	11373	8898
"669"	2514	3935	589
"670"	14984	9934	12478
"671"	2899	9616	7232
"672"	16294	15484	4589
"673"	2247	7492	7497
"674"	12650	7419	8631
"675"	3818	683	8844
"676"	3391	12866	4753
"677"	1825	11604	9806
"678"	1116	12121	14335
"679"	7745	5792	1221
"680"	12315	12446	15872
"681"	1825	9806	14633
"682"	12619	3743	8836
"683"	5305	4615	1415
"684"	5000	7766	8823
"685"	5332	7122	4832
"686"	16046	11541	9042
"687"	7343	799	11081
"688"	7382	685	4520
"689"	671	823	2136
"690"	15988	5914	7755
"691"	5305	6411	16042
"692"	9887	589	3085
"693"	16076	10413	10021
"694"	2760	9509	14633
"695"	16960	16627	16079
"696"	8543	11830	11330
"697"	11364	4101	667
"698"	402	312	403
"699"	14633	15123	13732
"700"	551	11373	11961
"701"	2463	13732	1825
"702"	5311	9965	12332
"703"	719	11756	2188
"704"	4101	11364	10025
"705"	7070	2572	16717
"706"	10236	10336	16190
"707"	10696	184	13444
"708"	14041	12479	13788
"709"	16046	1477	8769
"710"	48	40	1569
"711"	1689	1176	1054
"712"	9570	629	3553
"713"	13789	13670	15366
"714"	1503	6721	8247
"715"	12205	685	12992
"716"	16869	14047	5305
"717"	1510	5896	9142
"718"	6795	4376	1477
"719"	1927	889	3656
"720"	7301	11933	3027
"721"	14246	16141	16193
"722"	9608	14171	10379
"723"	14984	12054	9812
"724"	3228	11133	30
"725"	14984	9934	9844
"726"	9616	2899	1091
"727"	9887	589	1748
"728"	806	9546	1628
"729"	1503	1415	4615
"730"	10166	14984	3521
"731"	9570	629	3820
"732"	14610	6875	15034
"733"	11961	8312	3011
"734"	14984	8908	14088
"735"	7222	3343	4092
"736"	8870	8868	3259
"737"	1927	3656	889
"738"	7222	4092	14476
"739"	7382	7573	5520
"740"	2715	1923	11833
"741"	12416	10038	5665
"742"	2126	5268	9446
"743"	11756	719	2188
"744"	799	11081	7343
"745"	16076	10413	10985
"746"	14633	13732	15123
"747"	3461	7193	7725
"748"	12572	3889	14003
"749"	4800	11810	12478
"750"	2716	551	2715
"751"	13722	28	13172
"752"	16166	14610	15034
"753"	16046	16076	10413
"754"	1	12868	11145
"755"	6795	4376	5523
"756"	4298	7461	10586
"757"	312	1776	5976
"758"	1818	16023	456
"759"	8561	11502	543
"760"	14984	9934	9844
"761"	889	14984	1932
"762"	14285	2504	14698
"763"	7382	7573	8719
"764"	10928	6655	11272
"765"	15599	14463	9903
"766"	5332	4832	7122
"767"	6986	9780	16174
"768"	7329	5034	1365
"769"	3415	2324	2550
"770"	685	5490	687
"771"	10050	11888	15073
"772"	13382	15366	12479
"773"	284	7746	756
"774"	1825	9806	4985
"775"	7766	5000	8823
"776"	16637	4298	13496
"777"	404	1949	9234
"778"	3391	12866	7612
"779"	4351	3089	4911
"780"	8870	8868	8891
"781"	227	14633	15123
"782"	13245	14166	15736
"783"	10542	4344	8095
"784"	12619	3743	8836
"785"	13382	12479	13697
"786"	12097	10861	689
"787"	9608	12646	9545
"788"	16166	14610	15599
"789"	15457	6932	195
"790"	14610	16166	15034
"791"	13722	13172	720
"792"	13207	14774	9319
"793"	9768	9654	4456
"794"	6	16076	4241
"795"	12621	10985	7222
"796"	1923	5081	2921
"797"	13722	13172	720
"798"	2715	11833	8234
"799"	9654	9768	4456
"800"	4456	9654	9768
"801"	13245	15736	7243
"802"	6917	8738	7409
"803"	28	486	3934
"804"	15297	3330	15440
"805"	11364	4101	10429
"806"	16076	10413	7070
"807"	14633	15123	13732
"808"	4487	3645	7279
"809"	7363	3315	7271
"810"	5332	9570	4832
"811"	13172	13722	720
"812"	4478	978	3776
"813"	28	486	3934
"814"	858	7379	11311
"815"	14984	9934	3602
"816"	1029	12791	8047
"817"	16076	10413	12619
"818"	7382	7573	14918
"819"	3818	683	8844
"820"	1116	12121	2845
"821"	16076	10413	16046
"822"	3678	14496	2477
"823"	9626	13476	8756
"824"	756	7746	284
"825"	11081	7343	799
"826"	7136	14633	13732
"827"	1214	2236	9237
"828"	6664	11640	15115
"829"	3889	12572	1281
"830"	10166	3521	16494
"831"	14984	9934	551
"832"	28	1748	11786
"833"	16294	15484	14886
"834"	13382	13703	13654
"835"	8870	8868	3259
"836"	10696	184	13444
"837"	16076	10413	2072
"838"	16707	16076	10413
"839"	12709	14598	12508
"840"	4615	1415	4272
"841"	14610	10009	13410
"842"	10339	7159	9637
"843"	13245	15736	7243
"844"	16076	10413	12687
"845"	551	227	3429
"846"	2446	13490	8311
"847"	8623	14631	5547
"848"	14166	11418	837
"849"	7745	5792	14633
"850"	14246	16141	16193
"851"	29	5135	9787
"852"	2546	8989	9408
"853"	9616	2899	7232
"854"	16076	10413	10021
"855"	14984	9934	9844
"856"	1390	1090	3024
"857"	883	193	2955
"858"	792	907	12470
"859"	589	9887	3085
"860"	1116	12121	10109
"861"	5081	1875	962
"862"	11604	6021	14698
"863"	13756	4368	9154
"864"	2136	2907	6934
"865"	14633	15123	13732
"866"	10985	16046	16817
"867"	9570	2021	3553
"868"	15457	195	4381
"869"	1949	7363	7271
"870"	3415	7801	4837
"871"	2126	3391	1818
"872"	13756	4368	9154
"873"	6660	7681	9563
"874"	3674	889	1366
"875"	2351	3982	616
"876"	1932	1927	3656
"877"	14984	9934	4071
"878"	16076	10413	14608
"879"	2072	8945	10219
"880"	4837	11915	15387
"881"	14335	6988	13187
"882"	13288	9354	11667
"883"	799	11081	7343
"884"	184	10696	1455
"885"	7382	10939	8719
"886"	5000	7766	8823
"887"	14984	9934	9844
"888"	5034	7329	1365
"889"	2504	14698	14285
"890"	3415	7801	13471
"891"	6660	9563	3550
"892"	2546	9408	9570
"893"	551	11373	16936
"894"	10050	2376	6485
"895"	64	4142	65
"896"	10050	2054	15073
"897"	9654	4456	9768
"898"	9656	14412	3678
"899"	10696	858	184
"900"	1210	1052	2324
"901"	9570	6581	9633
"902"	4985	6	8323
"903"	4456	9654	9768
"904"	2758	8942	2831
"905"	4984	2293	756
"906"	1116	2126	12121
"907"	5283	6460	2451
"908"	5162	3614	10008
"909"	14633	13732	15123
"910"	7343	11081	799
"911"	7363	3315	7271
"912"	10236	10336	16190
"913"	9616	2899	7232
"914"	14166	98	8266
"915"	3228	7745	6193
"916"	14412	3678	9656
"917"	9393	1010	2501
"918"	7329	5034	1365
"919"	2126	16046	5268
"920"	14289	1628	14201
"921"	15783	4879	4980
"922"	2577	5477	8150
"923"	3315	5414	7143
"924"	11961	8312	5637
"925"	2596	4456	9654
"926"	5305	6411	16042
"927"	11364	4101	10025
"928"	1818	4063	1817
"929"	3923	11933	3027
"930"	2228	1516	8877
"931"	9570	6285	3553
"932"	15841	1233	1450
"933"	3510	15635	11833
"934"	1503	8247	13341
"935"	551	11373	5760
"936"	2879	8483	2907
"937"	8631	7419	8630
"938"	284	7746	16499
"939"	7994	9134	3439
"940"	10696	184	13444
"941"	14698	14285	2504
"942"	13460	16962	10418
"943"	9408	2546	8989
"944"	177	312	1717
"945"	823	9591	1270
"946"	2577	11706	8150
"947"	7382	7573	12478
"948"	8994	15944	5082
"949"	3228	7822	4108
"950"	14480	13926	9642
"951"	1949	404	1838
"952"	10166	3521	1414
"953"	15805	14018	16024
"954"	11081	799	7343
"955"	8543	11330	11830
"956"	15676	14566	9276
"957"	9884	16046	11933
"958"	5	671	691
"959"	2831	3935	3649
"960"	28	8115	486
"961"	551	11373	16046
"962"	4308	1241	14984
"963"	12416	10168	10038
"964"	184	10696	13444
"965"	5959	1927	3656
"966"	1818	11551	10899
"967"	14166	11418	8903
"968"	1	11145	12868
"969"	14503	16345	14989
"970"	14633	13732	15123
"971"	14633	13732	15123
"972"	1904	478	3027
"973"	184	10696	13444
"974"	16076	10413	8925
"975"	181	231	312
"976"	64	6419	14609
"977"	9015	3415	14633
"978"	3391	251	13806
"979"	7222	4092	14886
"980"	1343	7980	4281
"981"	1818	12363	16527
"982"	16141	14246	16193
"983"	7222	4092	12301
"984"	13207	14774	9319
"985"	11918	4858	9515
"986"	11604	10030	11693
"987"	12054	9812	6016
"988"	14633	15123	13732
"989"	16076	10413	9480
"990"	5896	1510	1698
"991"	1503	6721	11862
"992"	14633	12315	12446
"993"	11364	4101	10025
"994"	14984	9934	9844
"995"	858	12572	7379
"996"	14633	15123	13732
"997"	16076	10413	13477
"998"	15599	9903	14463
"999"	799	11081	7343
"1000"	1818	7735	16718
"1001"	9393	6617	9633
"1002"	12619	8836	3743
"1003"	10631	6372	2697
"1004"	11756	719	2188
"1005"	1951	4973	2152
"1006"	11186	4980	15874
"1007"	14633	15123	13732
"1008"	9965	5311	12332
"1009"	9654	4456	9768
"1010"	7222	4092	16489
"1011"	10985	16817	12621
"1012"	1204	5268	2234
"1013"	14633	15123	13732
"1014"	5081	375	5380
"1015"	1390	1090	3024
"1016"	4837	11915	12232
"1017"	1932	889	1927
"1018"	13382	12479	15366
"1019"	2463	404	14088
"1020"	18	3639	7329
"1021"	551	11373	16936
"1022"	9654	4456	9768
"1023"	14984	12619	9934
"1024"	10466	3391	7329
"1025"	14984	9934	9844
"1026"	13382	15366	12479
"1027"	616	551	2390
"1028"	15440	15297	3330
"1029"	12479	6291	13702
"1030"	2504	14698	14285
"1031"	419	14717	11572
"1032"	14633	15123	13732
"1033"	823	551	9591
"1034"	14610	13110	13227
"1035"	14633	13732	3649
"1036"	12619	3743	8836
"1037"	248	7448	5268
"1038"	2758	3429	8942
"1039"	14915	1818	2231
"1040"	1558	1896	14201
"1041"	3649	3539	2546
"1042"	28	11786	5558
"1043"	11756	719	2188
"1044"	4517	6563	6940
"1045"	823	15457	9591
"1046"	1932	1927	3656
"1047"	454	3809	2217
"1048"	14984	9934	454
"1049"	14698	2504	14285
"1050"	14984	6	1116
"1051"	14246	16141	16521
"1052"	9608	10379	14171
"1053"	14201	1628	3126
"1054"	9101	4710	9898
"1055"	14633	15123	13732
"1056"	5874	9654	4456
"1057"	14480	13926	9642
"1058"	14984	9934	2572
"1059"	484	14608	2589
"1060"	184	10696	13444
"1061"	1748	14918	9818
"1062"	14946	16059	11836
"1063"	9608	14171	10379
"1064"	1792	8592	13905
"1065"	8831	8126	15590
"1066"	8419	15286	10772
"1067"	2715	11833	8234
"1068"	14633	13732	15123
"1069"	9616	2899	7232
"1070"	4376	6795	5523
"1071"	16079	10551	16700
"1072"	6726	6472	13496
"1073"	312	177	5976
"1074"	14984	9934	5500
"1075"	7363	7271	3315
"1076"	5081	13061	12697
"1077"	13579	3024	1390
"1078"	6049	8311	13490
"1079"	1210	945	1195
"1080"	16707	14722	16494
"1081"	9608	14171	10379
"1082"	7363	3315	7271
"1083"	14633	15123	2758
"1084"	14633	15123	13732
"1085"	14545	7360	11597
"1086"	3391	685	1241
"1087"	2907	12641	2136
"1088"	7363	1396	7271
"1089"	13912	13101	5416
"1090"	1899	16185	3429
"1091"	1825	9806	2115
"1092"	14633	15123	13732
"1093"	883	2955	193
